,year,counry,metabolite,daily mean,weekday mean,weekend mean
108,2021,BE,cannabis,,,
109,2021,BE,cocaine,2349.96,2099.54,2537.7799999999997
110,2011,CH,amphetamine,,,
111,2011,CH,methamphetamine,,,
112,2011,CH,MDMA,,,
113,2011,CH,cannabis,,,
114,2011,CH,cocaine,,,
115,2012,CH,amphetamine,72.00999999999999,81.38,64.99000000000001
116,2012,CH,methamphetamine,19.55,20.88,18.55
117,2012,CH,MDMA,82.72999999999999,37.71,116.49
118,2012,CH,cannabis,,,
119,2012,CH,cocaine,1324.73,1288.44,1351.95
120,2013,CH,amphetamine,95.6,101.85,90.91
121,2013,CH,methamphetamine,45.660000000000004,52.05,40.870000000000005
122,2013,CH,MDMA,112.43,54.47,153.18
123,2013,CH,cannabis,,,
124,2013,CH,cocaine,1753.22,1504.51,1921.0500000000002
125,2014,CH,amphetamine,67.59,53.190000000000005,78.39
126,2014,CH,methamphetamine,49.959999999999994,49.53,50.28
127,2014,CH,MDMA,143.01999999999998,60.8,204.67000000000002
128,2014,CH,cannabis,,,
129,2014,CH,cocaine,2416.9399999999996,2120.92,2638.9900000000002
130,2015,CH,amphetamine,106.15,106.67999999999999,105.75
131,2015,CH,methamphetamine,105.0,139.48000000000002,79.13
132,2015,CH,MDMA,137.22,59.44,195.54
133,2015,CH,cannabis,,,
134,2015,CH,cocaine,1785.85,1553.37,1960.21
135,2016,CH,amphetamine,96.50999999999999,88.81,102.1
136,2016,CH,methamphetamine,59.989999999999995,61.650000000000006,58.69
137,2016,CH,MDMA,138.46,64.13,198.74
138,2016,CH,cannabis,,,
139,2016,CH,cocaine,2349.1899999999996,2064.1800000000003,2579.88
140,2017,CH,amphetamine,190.12,181.32,197.27
141,2017,CH,methamphetamine,150.31,144.2,154.70999999999998
142,2017,CH,MDMA,220.53000000000003,105.87,311.06
143,2017,CH,cannabis,,,
144,2017,CH,cocaine,3641.65,2836.1100000000006,4279.8099999999995
145,2018,CH,amphetamine,183.76,160.97,200.84
146,2018,CH,methamphetamine,,,
147,2018,CH,MDMA,206.89,95.75999999999999,290.22
148,2018,CH,cannabis,,,
149,2018,CH,cocaine,3250.01,2754.72,3621.46
150,2019,CH,amphetamine,218.15000000000003,208.97,224.97
151,2019,CH,methamphetamine,144.41000000000003,143.59,144.95
152,2019,CH,MDMA,150.54000000000002,71.05000000000001,212.66000000000003
153,2019,CH,cannabis,410.27,354.84,457.20000000000005
154,2019,CH,cocaine,3680.13,3271.5299999999997,3995.3999999999996
155,2020,CH,amphetamine,173.87,155.68,191.32999999999998
156,2020,CH,methamphetamine,106.18,104.3,107.34
157,2020,CH,MDMA,87.94,59.870000000000005,109.53
158,2020,CH,cannabis,325.1,335.57,317.48
159,2020,CH,cocaine,2634.87,2396.83,2830.07
160,2021,CH,amphetamine,211.70999999999998,212.51,212.22000000000003
161,2021,CH,methamphetamine,201.62,196.07999999999998,206.64000000000001
162,2021,CH,MDMA,97.33000000000001,67.35,121.47
163,2021,CH,cannabis,,,
164,2021,CH,cocaine,3541.05,3215.75,3829.1899999999996
165,2011,CY,amphetamine,,,
166,2011,CY,methamphetamine,,,
167,2011,CY,MDMA,,,
168,2011,CY,cannabis,,,
169,2011,CY,cocaine,,,
170,2012,CY,amphetamine,,,
171,2012,CY,methamphetamine,,,
172,2012,CY,MDMA,,,
173,2012,CY,cannabis,,,
174,2012,CY,cocaine,,,
175,2013,CY,amphetamine,1.69,1.93,1.51
176,2013,CY,methamphetamine,3.48,3.7,3.31
177,2013,CY,MDMA,0.46,0.4,0.51
178,2013,CY,cannabis,,,
179,2013,CY,cocaine,13.92,13.38,14.32
180,2014,CY,amphetamine,,,
181,2014,CY,methamphetamine,,,
182,2014,CY,MDMA,,,
183,2014,CY,cannabis,,,
184,2014,CY,cocaine,,,
185,2015,CY,amphetamine,6.07,5.67,6.38
186,2015,CY,methamphetamine,32.27,33.32,31.47
187,2015,CY,MDMA,2.35,2.3,2.38
188,2015,CY,cannabis,,,
189,2015,CY,cocaine,78.94,85.26,74.2
190,2016,CY,amphetamine,8.07,10.34,6.37
191,2016,CY,methamphetamine,14.04,17.06,11.78
192,2016,CY,MDMA,3.43,4.29,2.78
193,2016,CY,cannabis,,,
194,2016,CY,cocaine,153.46,137.36,165.54
195,2017,CY,amphetamine,9.7,9.4,9.93
196,2017,CY,methamphetamine,88.01,85.89,89.6
197,2017,CY,MDMA,9.13,5.1,12.15
198,2017,CY,cannabis,,,
199,2017,CY,cocaine,,,
200,2018,CY,amphetamine,7.59,7.44,7.7
201,2018,CY,methamphetamine,41.98,44.09,40.39
202,2018,CY,MDMA,9.44,8.24,10.34
203,2018,CY,cannabis,,,
204,2018,CY,cocaine,,,
205,2019,CY,amphetamine,4.84,4.68,4.96
206,2019,CY,methamphetamine,55.93,58.49,54.02
207,2019,CY,MDMA,13.65,15.58,12.2
208,2019,CY,cannabis,,,
209,2019,CY,cocaine,272.39,246.5,291.8
210,2020,CY,amphetamine,3.41,6.03,1.44
211,2020,CY,methamphetamine,18.91,24.05,15.06
212,2020,CY,MDMA,2.56,2.82,2.38
213,2020,CY,cannabis,,,
214,2020,CY,cocaine,43.9,50.95,38.61
215,2021,CY,amphetamine,21.209999999999997,25.36,18.08
216,2021,CY,methamphetamine,42.56,40.120000000000005,44.41
217,2021,CY,MDMA,38.7,19.080000000000002,53.43
218,2021,CY,cannabis,,,
219,2021,CY,cocaine,310.5,231.04000000000002,370.10999999999996
220,2011,CZ,amphetamine,28.51,28.23,28.71
221,2011,CZ,methamphetamine,175.49,181.64,170.88
222,2011,CZ,MDMA,3.48,3.18,3.71
223,2011,CZ,cannabis,50.37,55.35,46.63
224,2011,CZ,cocaine,6.82,7.19,6.53
225,2012,CZ,amphetamine,52.53999999999999,51.75,53.13
226,2012,CZ,methamphetamine,293.17,289.7,295.77
227,2012,CZ,MDMA,19.72,21.54,18.36
228,2012,CZ,cannabis,118.06,127.59,110.92
229,2012,CZ,cocaine,53.59,45.16,59.93
230,2013,CZ,amphetamine,56.85,53.69,59.230000000000004
231,2013,CZ,methamphetamine,541.89,521.24,557.38
232,2013,CZ,MDMA,29.14,14.81,39.9
233,2013,CZ,cannabis,152.91,155.59,150.89
234,2013,CZ,cocaine,54.03,55.980000000000004,52.54
235,2014,CZ,amphetamine,,,
236,2014,CZ,methamphetamine,,,
237,2014,CZ,MDMA,,,
238,2014,CZ,cannabis,,,
239,2014,CZ,cocaine,,,
240,2015,CZ,amphetamine,18.51,18.2,18.74
241,2015,CZ,methamphetamine,161.18,162.0,160.57
242,2015,CZ,MDMA,9.12,4.76,12.39
243,2015,CZ,cannabis,,,
244,2015,CZ,cocaine,5.45,4.07,6.49
